id,event_id,issue,date,pdf,html
enb12591e,2013-COP-19-CMP9,591,2013-11-20,http://www.iisd.ca/download/pdf/enb12591e.pdf,http://www.iisd.ca/vol12/enb12591e.html
enb12592e,2013-COP-19-CMP9,592,2013-11-21,http://www.iisd.ca/download/pdf/enb12592e.pdf,http://www.iisd.ca/vol12/enb12592e.html
enb12593e,2013-COP-19-CMP9,593,2013-11-22,http://www.iisd.ca/download/pdf/enb12593e.pdf,http://www.iisd.ca/vol12/enb12593e.html
enb12594e,2013-COP-19-CMP9,594,2013-11-23,http://www.iisd.ca/download/pdf/enb12594e.pdf,http://www.iisd.ca/vol12/enb12594e.html
enb12595e,2014-ADP-2-4,595,2014-03-14,http://www.iisd.ca/download/pdf/enb12595e.pdf,http://www.iisd.ca/vol12/enb12595e.html
enb12596e,2014-IPCC-38,596,2014-03-14,http://www.iisd.ca/download/pdf/enb12596e.pdf,http://www.iisd.ca/vol12/enb12596e.html
enb12597e,2014-IPCC-39,597,2014-04-12,http://www.iisd.ca/download/pdf/enb12597e.pdf,http://www.iisd.ca/vol12/enb12597e.html
enb12598e,2014-SB-40,598,2014-06-15,http://www.iisd.ca/download/pdf/enb12598e.pdf,http://www.iisd.ca/vol12/enb12598e.html
enb12599e,2014-ADP-2-6,599,2014-10-20,http://www.iisd.ca/download/pdf/enb12599e.pdf,http://www.iisd.ca/vol12/enb12599e.html
enb12600e,2014-ADP-2-6,600,2014-10-21,http://www.iisd.ca/download/pdf/enb12600e.pdf,http://www.iisd.ca/vol12/enb12600e.html
enb12601e,2014-ADP-2-6,601,2014-10-22,http://www.iisd.ca/download/pdf/enb12601e.pdf,http://www.iisd.ca/vol12/enb12601e.html
enb12602e,2014-ADP-2-6,602,2014-10-23,http://www.iisd.ca/download/pdf/enb12602e.pdf,http://www.iisd.ca/vol12/enb12602e.html
enb125603e,2014-ADP-2-6,603,2014-10-24,http://www.iisd.ca/download/pdf/enb12603e.pdf,http://www.iisd.ca/vol12/enb125603e.html
enb12604e,2014-ADP-2-6,604,2014-10-25,http://www.iisd.ca/download/pdf/enb12604e.pdf,http://www.iisd.ca/vol12/enb12604e.html
enb12605e,2014-ADP-2-6,605,2014-10-25,http://www.iisd.ca/download/pdf/enb12605e.pdf,http://www.iisd.ca/vol12/enb12605e.html
enb12606e,2014-IPCC-40,606,2014-10-27,http://www.iisd.ca/download/pdf/enb12606e.pdf,http://www.iisd.ca/vol12/enb12606e.html
enb12607e,2014-IPCC-40,607,2014-10-31,http://www.iisd.ca/download/pdf/enb12607e.pdf,http://www.iisd.ca/vol12/enb12607e.html
enb12608e,2014-COP-20-CMP10,608,2014-12-01,http://www.iisd.ca/download/pdf/enb12608e.pdf,http://www.iisd.ca/vol12/enb12608e.html
enb12609e,2014-COP-20-CMP10,609,2014-12-02,http://www.iisd.ca/download/pdf/enb12609e.pdf,http://www.iisd.ca/vol12/enb12609e.html
enb12610e,2014-COP-20-CMP10,610,2014-12-03,http://www.iisd.ca/download/pdf/enb12610e.pdf,http://www.iisd.ca/vol12/enb12610e.html
enb12611e,2014-COP-20-CMP10,611,2014-12-04,http://www.iisd.ca/download/pdf/enb12611e.pdf,http://www.iisd.ca/vol12/enb12611e.html
enb12612e,2014-COP-20-CMP10,612,2014-12-05,http://www.iisd.ca/download/pdf/enb12612e.pdf,http://www.iisd.ca/vol12/enb12612e.html
enb12613e,2014-COP-20-CMP10,613,2014-12-06,http://www.iisd.ca/download/pdf/enb12613e.pdf,http://www.iisd.ca/vol12/enb12613e.html
enb12614e,2014-COP-20-CMP10,614,2014-12-08,http://www.iisd.ca/download/pdf/enb12614e.pdf,http://www.iisd.ca/vol12/enb12614e.html
enb12615e,2014-COP-20-CMP10,615,2014-12-09,http://www.iisd.ca/download/pdf/enb12615e.pdf,http://www.iisd.ca/vol12/enb12615e.html
enb12616e,2014-COP-20-CMP10,616,2014-12-10,http://www.iisd.ca/download/pdf/enb12616e.pdf,http://www.iisd.ca/vol12/enb12616e.html
enb12617e,2014-COP-20-CMP10,617,2014-12-11,http://www.iisd.ca/download/pdf/enb12617e.pdf,http://www.iisd.ca/vol12/enb12617e.html
enb12618e,2014-COP-20-CMP10,618,2014-12-12,http://www.iisd.ca/download/pdf/enb12618e.pdf,http://www.iisd.ca/vol12/enb12618e.html
enb12619e,2014-COP-20-CMP10,619,2014-12-14,http://www.iisd.ca/download/pdf/enb12619e.pdf,http://www.iisd.ca/vol12/enb12619e.html
enb12620e,2015-ADP-2-8,620,2015-02-08,http://www.iisd.ca/download/pdf/enb12620e.pdf,http://www.iisd.ca/vol12/enb12620e.html
enb12621e,2015-ADP-2-8,621,2015-02-09,http://www.iisd.ca/download/pdf/enb12621e.pdf,http://www.iisd.ca/vol12/enb12621e.html
enb12622e,2015-ADP-2-8,622,2015-02-10,http://www.iisd.ca/download/pdf/enb12622e.pdf,http://www.iisd.ca/vol12/enb12622e.html
enb12623e,2015-ADP-2-8,623,2015-02-11,http://www.iisd.ca/download/pdf/enb12623e.pdf,http://www.iisd.ca/vol12/enb12623e.html
